State,County,Excessive drinking,Median household income
NC,Alexander County,0.119,39655
NC,Alleghany County,0.165,34046
NC,Anson County,,32339
NC,Ashe County,0.086,34080
NC,Avery County,,34727
NC,Beaufort County,,38256
NC,Bertie County,,30414
NC,Bladen County,,32766
NC,Brunswick County,0.147,48624
NC,Buncombe County,0.136,43146
NC,Burke County,0.075,38581
NC,Cabarrus County,0.142,55531
NC,Caldwell County,0.091,35127
NC,Camden County,,53563
NC,Carteret County,0.21,48930
NC,Caswell County,,39615
NC,Catawba County,0.126,42080
NC,Chatham County,0.172,55371
NC,Cherokee County,0.091,31370
NC,Chowan County,,37458
NC,Clay County,,36871
NC,Cleveland County,0.096,38265
NC,Columbus County,,33765
NC,Craven County,0.119,47087
NC,Cumberland County,0.113,45110
NC,Currituck County,0.274,54822
NC,Dare County,0.284,51900
NC,Davidson County,0.145,43824
NC,Davie County,0.122,49984
NC,Duplin County,0.121,36075
NC,Durham County,0.149,50889
NC,Edgecombe County,,32002
NC,Forsyth County,0.119,43049
NC,Franklin County,0.166,42346
NC,Gaston County,0.123,41614
NC,Gates County,,44273
NC,Graham County,,32883
NC,Granville County,0.109,46303
NC,Greene County,,35050
NC,Guilford County,0.134,43299
NC,Halifax County,0.061,31253
NC,Harnett County,0.129,44998
NC,Haywood County,0.132,40022
NC,Henderson County,0.107,45168
NC,Hertford County,,31861
NC,Hoke County,0.11,44717
NC,Hyde County,,35301
NC,Iredell County,0.159,49666
NC,Jackson County,0.154,37049
NC,Johnston County,0.179,48773
NC,Jones County,,35159
NC,Lee County,0.095,43424
NC,Lenoir County,0.081,35634
NC,Lincoln County,0.12,47799
NC,Macon County,0.11,36438
NC,Madison County,,37644
NC,Martin County,,33159
NC,McDowell County,0.071,36584
NC,Mecklenburg County,0.156,55392
NC,Mitchell County,,36210
NC,Montgomery County,,35272
NC,Moore County,0.138,49670
NC,Nash County,0.161,40937
NC,New Hanover County,0.183,50890
NC,Northampton County,,31217
NC,Onslow County,0.175,44263
NC,Orange County,0.155,53026
NC,Pamlico County,,41004
NC,Pasquotank County,0.152,43935
NC,Pender County,0.175,43318
NC,Perquimans County,,42494
NC,Person County,,42546
NC,Pitt County,0.127,39343
NC,Polk County,0.14,41719
NC,Randolph County,0.11,41815
NC,Richmond County,0.079,30726
NC,Robeson County,0.085,29965
NC,Rockingham County,0.157,37577
NC,Rowan County,0.101,40400
NC,Rutherford County,0.092,34193
NC,Sampson County,0.114,37420
NC,Scotland County,0.086,31704
NC,Stanly County,0.145,42816
NC,Stokes County,0.22,42272
NC,Surry County,,36934
NC,Swain County,0.151,36280
NC,Transylvania County,,40642
NC,Tyrrell County,,30728
NC,Union County,0.14,61260
NC,Vance County,0.077,34371
NC,Wake County,0.15,64107
NC,Warren County,,33068
NC,Washington County,,32545
NC,Watauga County,0.146,38563
NC,Wayne County,0.099,38776
NC,Wilkes County,0.086,35362
NC,Wilson County,,37440
NC,Yadkin County,,40012
NC,Yancey County,0.062,36019
ND,Adams County,0.168,45829
