State,Year,Excessive drinking,Median household income
AK,1/1/2014,0.266,69192
AK,1/1/2015,0.266,74088
AK,1/1/2014,0.185,71094
AK,1/1/2015,0.185,76362
AK,1/1/2014,0.171,41722
AK,1/1/2015,0.171,42876
AK,1/1/2014,0.143,47498
AK,1/1/2015,0.143,47930
AK,1/1/2014,0.2,63979
AK,1/1/2015,0.2,67204
AK,1/1/2014,0.16,49890
AK,1/1/2015,0.16,55295
AK,1/1/2014,0.209,76967
AK,1/1/2015,0.209,83642
AK,1/1/2014,0.185,60431
AK,1/1/2015,0.185,61629
AK,1/1/2014,0.212,61296
AK,1/1/2015,0.212,62619
AK,1/1/2014,0.267,61498
AK,1/1/2015,0.267,64782
AK,1/1/2014,0.194,44657
AK,1/1/2015,0.194,43936
AK,1/1/2014,0.183,68109
AK,1/1/2015,0.183,72371
AK,1/1/2014,0.19,47022
AK,1/1/2015,0.19,46471
AK,1/1/2014,0.147,69138
AK,1/1/2015,0.147,74174
AK,1/1/2014,0.212,52945
AK,1/1/2015,0.212,54600
AK,1/1/2014,0.2,44721
AK,1/1/2015,0.2,48175
AK,1/1/2014,0.246,61771
AK,1/1/2015,0.246,66038
AK,1/1/2014,0.292,48137
AK,1/1/2015,0.292,49138
AK,1/1/2014,0.145,56456
AK,1/1/2015,0.145,54922
AK,1/1/2014,0.218,65098
AK,1/1/2015,0.218,63541
AK,1/1/2014,0.092,32860
AK,1/1/2015,0.092,31274
AK,1/1/2014,0.196,53745
AK,1/1/2015,0.196,54624
AK,1/1/2014,0.253,33998
AK,1/1/2015,0.253,35114
AL,1/1/2014,0.167,51441
AL,1/1/2015,0.167,51868
AL,1/1/2014,0.179,48867
AL,1/1/2015,0.179,47539
AL,1/1/2014,0.135,30287
AL,1/1/2015,0.135,30981
AL,1/1/2014,0.112,37392
AL,1/1/2015,0.112,39781
AL,1/1/2014,0.055,44225
AL,1/1/2015,0.055,44392
AL,1/1/2014,,25854
AL,1/1/2015,,25937
AL,1/1/2014,0.109,30605
AL,1/1/2015,0.109,31041
AL,1/1/2014,0.116,39212
AL,1/1/2015,0.116,37898
